cif,formula,energy,formation_energy,formation_energy_per_atom,uid
Ca2Au1S2I2_123_2936.vasp,Ca2Au1S2I2,-10.45508936,-8.368318965,-1.195474137857143,2936
Ca2Au1S2I2_38_2937.vasp,Ca2Au1S2I2,-10.53302088,-8.446250485,-1.2066072121428573,2937
Ca2Au1Se2Br2_38_2938.vasp,Ca2Au1Se2Br2,-9.77686838,-6.101070705,-0.8715815292857142,2938
Ca2Au1Se2Cl2_38_2939.vasp,Ca2Au1Se2Cl2,-10.93142799,-7.22554367125,-1.0322205244642857,2939
Ca2Au1Se2F2_38_2940.vasp,Ca2Au1Se2F2,-13.73759704,-10.30934707,-1.4727638671428571,2940
Ca2Au1Se2I2_38_2941.vasp,Ca2Au1Se2I2,-8.39644045,-5.33225934,-0.7617513342857143,2941
Ca2Au2_191_2942.vasp,Ca2Au2,1.22449326,0.6714439200000001,0.16786098,2942
Ca2B2O6_11_2943.vasp,Ca2B2O6,-54.57365601,-37.61093063,-3.761093063,2943
Ca2B2S6Cl2_59_2944.vasp,Ca2B2S6Cl2,-37.50748946,-19.60442371625,-1.6337019763541667,2944
Ca2B2S6F2_59_2945.vasp,Ca2B2S6F2,-41.03209193,-23.406660535,-1.9505550445833333,2945
Ca2B6H10O16_4_2947.vasp,Ca2B6H10O16,-185.30099468,-123.54192694,-3.6335860864705887,2947
Ca2B8H40N4_30_2948.vasp,Ca2B8H40N4,-223.04108511,-113.45537209000004,-2.1010254090740745,2948
Ca2Be2_164_2949.vasp,Ca2Be2,-0.90813275,4.50671028,1.12667757,2949
Ca2Bi10O17_1_2950.vasp,Ca2Bi10O17,-109.92727278,-86.7775185,-2.992328224137931,2950
Ca2Bi10O17_8_2951.vasp,Ca2Bi10O17,-109.78625557,-86.63650129,-2.9874655617241377,2951
Ca2Bi1_164_2952.vasp,Ca2Bi1,-1.09464907,0.1433679699999999,0.0477893233333333,2952
Ca2Bi1_25_2953.vasp,Ca2Bi1,0.03609585,1.2741128899999998,0.4247042966666666,2953
Ca2Bi2Cl2O4_11_2954.vasp,Ca2Bi2Cl2O4,-34.20751102,-28.16850329125,-2.816850329125,2954
Ca2Bi4_12_2958.vasp,Ca2Bi4,-5.73667813,-3.50753933,-0.5845898883333333,2958
Ca2Bi4O8_11_2956.vasp,Ca2Bi4O8,-55.43103968,-44.28972584,-3.1635518457142857,2956
Ca2Bi4O8_26_2955.vasp,Ca2Bi4O8,-52.88690608,-41.74559224000001,-2.981828017142857,2955
Ca2Bi4S8_11_2957.vasp,Ca2Bi4S8,-35.83773378,-23.46200512,-1.675857508571429,2957
Ca2Br2_129_2961.vasp,Ca2Br2,-2.6849553,-1.792869575,-0.4482173937499999,2961
Ca2Br2Cl2_129_2959.vasp,Ca2Br2Cl2,-11.71975113,-10.81313615625,-1.802189359375,2959
Ca2Br2F2_129_2960.vasp,Ca2Br2F2,-17.09975548,-16.470774855,-2.7451291425,2960
Ca2Br4_2_2964.vasp,Ca2Br4,-9.26204394,-8.38551561,-1.3975859350000002,2964
Ca2Br4O4F8_30_2962.vasp,Ca2Br4O4F8,-30.75090434,-26.47070889,-1.4705949383333334,2962
Ca2C1_164_2966.vasp,Ca2C1,-6.01352655,5.055271124999999,1.6850903749999997,2966
Ca2C2Cl2O6_59_2967.vasp,Ca2C2Cl2O6,-55.59587964,-27.66726688125,-2.3056055734375,2967
Ca2C2O6F2_59_2968.vasp,Ca2C2O6F2,-59.78633044,-32.13535203000001,-2.6779460025000006,2968
Ca2C2S6Cl2_59_2969.vasp,Ca2C2S6Cl2,-38.54087609,-9.686452216249997,-0.8072043513541663,2969
Ca2C2S6F2_59_2970.vasp,Ca2C2S6F2,-41.89027159,-13.313482065,-1.10945683875,2970
Ca2C4_51_2973.vasp,Ca2C4,-29.97823936,11.57402198,1.9290036633333336,2973
Ca2C4_67_2972.vasp,Ca2C4,-25.7392165,15.81304484,2.635507473333333,2972
Ca2C4S4N4_13_2971.vasp,Ca2C4S4N4,-75.65872908,-17.495793229999997,-1.2496995164285711,2971
Ca2Cd1_123_2974.vasp,Ca2Cd1,3.4268225,4.41559706,1.4718656866666666,2974
Ca2Ce2_59_2975.vasp,Ca2Ce2,-1.71800234,3.5304568000000005,0.8826142000000001,2975
Ca2Cl2_129_2978.vasp,Ca2Cl2,-6.07011533,-5.14794296125,-1.2869857403125,2978
Ca2Cl2_129_2979.vasp,Ca2Cl2,-4.19691238,-3.27474001125,-0.8186850028124999,2979
Ca2Cl2F2_129_2976.vasp,Ca2Cl2F2,-18.53246535,-17.87339808125,-2.978899680208333,2976
Ca2Cl2O1_12_2977.vasp,Ca2Cl2O1,-15.63717328,-13.60097903125,-2.72019580625,2977
Ca2Cl4_129_2981.vasp,Ca2Cl4,-12.72224335,-11.7855417325,-1.9642569554166665,2981
Ca2Cl4_2_2982.vasp,Ca2Cl4,-12.34600257,-11.4093009525,-1.90155015875,2982
Ca2Cl4_51_2983.vasp,Ca2Cl4,-13.0711935,-12.1344918825,-2.02241531375,2983
Ca2Cl4O8_125_2980.vasp,Ca2Cl4O8,-38.19082955,-28.3419528925,-2.0244252066071424,2980
Ca2Co1_123_2987.vasp,Ca2Co1,0.52451785,2.5028302300000003,0.8342767433333335,2987
Ca2Co1O3_12_2984.vasp,Ca2Co1O3,-23.35597684,-18.03559882,-3.0059331366666666,2984
Ca2Co1O3_38_2985.vasp,Ca2Co1O3,-23.63800611,-18.31762809,-3.052938015,2985
Ca2Co1S3_38_2986.vasp,Ca2Co1S3,-16.3942794,-10.610995822499998,-1.7684993037499996,2986
Ca2Co2Ge2_129_2988.vasp,Ca2Co2Ge2,-10.8914475,-7.411932439999999,-1.2353220733333332,2988
Ca2Co2Si2_129_2989.vasp,Ca2Co2Si2,-13.45161425,-5.8491847,-0.9748641166666668,2989
Ca2Co2Sn2_129_2990.vasp,Ca2Co2Sn2,-5.89479876,-1.6606534426086954,-0.2767755737681159,2990
Ca2Co4Te6Cl4O16_4_2991.vasp,Ca2Co4Te6Cl4O16,-109.18402486,-78.93531285249999,-2.4667285266406247,2991
Ca2Cr8O18_85_2992.vasp,Ca2Cr8O18,-137.02666746,-102.25868562,-3.652095915,2992
Ca2Cu1Br2O2_123_2993.vasp,Ca2Cu1Br2O2,-19.18644037,-14.76054739,-2.108649627142857,2993
Ca2Cu1Cl2O2_123_2994.vasp,Ca2Cu1Cl2O2,-20.54219648,-16.08621685625,-2.298030979464286,2994
Ca2Cu1I2O2_123_2995.vasp,Ca2Cu1I2O2,-17.16611017,-13.351833755,-1.907404822142857,2995
